date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:13	115/115	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Dec%202018%2009:46:50%20GMT	http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/ico-select.png?1545379326997	D:/HTTrack%20Downloads/about/bizweb.dktcdn.net/100/341/423/themes/700222/assets/ico-select7f1e.png	(from http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/base.scss.css?1548750789768)
00:52:15	4993/4993	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Dec%202018%2009:46:49%20GMT	http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/breadcrumb.png?1548750787974	D:/HTTrack%20Downloads/about/bizweb.dktcdn.net/100/341/423/themes/700222/assets/breadcrumb0c6e.png	(from http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/style.scss.css?1548750789768)
00:52:15	320/320	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Dec%202018%2009:46:55%20GMT	http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/user.png?1548750787974	D:/HTTrack%20Downloads/about/bizweb.dktcdn.net/100/341/423/themes/700222/assets/user0c6e.png	(from http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/style.scss.css?1548750789768)
00:52:15	419/419	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Dec%202018%2009:46:47%20GMT	http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/background_footer.png?1548750787974	D:/HTTrack%20Downloads/about/bizweb.dktcdn.net/100/341/423/themes/700222/assets/background_footer0c6e.png	(from http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/style.scss.css?1548750789768)
00:52:15	32188/32188	---MCZ	200	added ('OK')	application/x-font-ttf	date:Fri,%2014%20Dec%202018%2009:46:55%20GMT	http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/utm_bebas.ttf?1548750787974	D:/HTTrack%20Downloads/about/bizweb.dktcdn.net/100/341/423/themes/700222/assets/utm_bebas0c6e.ttf	(from http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/style.scss.css?1548750789768)
00:52:16	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Sun,%2007%20Apr%202019%2017:52:17%20GMT	http://bizweb.dktcdn.net/100/117/701/themes/571720/assets/btn-edit.png?1501665026589	D:/HTTrack%20Downloads/about/bizweb.dktcdn.net/100/117/701/themes/571720/assets/btn-editb19b.png	(from http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/style.scss.css?1548750789768)
00:52:16	13116/13116	---M--	200	added ('OK')	application/font-woff	date:Fri,%2014%20Dec%202018%2009:46:55%20GMT	http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/utm_bebas.woff?1548750787974	D:/HTTrack%20Downloads/about/bizweb.dktcdn.net/100/341/423/themes/700222/assets/utm_bebas0c6e.woff	(from http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/style.scss.css?1548750789768)
00:52:16	1390/1390	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2014%20Dec%202018%2009:46:50%20GMT	http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/icon_fire.svg?1545379326997	D:/HTTrack%20Downloads/about/bizweb.dktcdn.net/100/341/423/themes/700222/assets/icon_fire7f1e.svg	(from http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/module.scss.css?1548750789768)
00:52:18	352726/352726	---M-Z	200	added ('OK')	application/javascript	etag:%225c77f111-561d6%22	http://s7.addthis.com/js/300/addthis_widget.js	D:/HTTrack%20Downloads/about/s7.addthis.com/js/300/addthis_widget.js	(from https://mobij.bizwebvietnam.net/gioi-thieu)
00:52:18	52/52	---MCZ	200	added ('OK')	text/plain	date:Tue,%2003%20Jan%202017%2008:05:07%20GMT	http://bizweb.dktcdn.net/robots.txt		(from http://bizweb.dktcdn.net/100/341/423/themes/700222/assets/style.scss.css?1548750789768)
